rotation,scheme,random_hadamard,quant_iters,rotation_size,status,total_time_s,hellaswag,lambada_openai,mmlu,piqa,winogrande,avg_accuracy
none,FP16,False,0,,success,435.3,0.4732,0.4044,0.4009,0.6763,0.5596,0.5029
none,W4A16,False,200,,success,569.2,0.4533,0.3782,0.4059,0.661,0.5706,0.4938
none,MXFP4,False,200,,success,1416.1,0.4031,0.2593,0.2713,0.6235,0.5241,0.4163
none,NVFP4,False,200,,success,1611.0,0.4397,0.3322,0.319,0.6387,0.543,0.4545
R1,W4A16,False,200,,success,1082.8,0.4561,0.3637,0.3878,0.6736,0.5525,0.4867
R1,MXFP4,False,200,,success,1966.0,0.4073,0.2705,0.2736,0.6235,0.5264,0.4203
R1,NVFP4,False,200,,success,2118.4,0.4347,0.3004,0.2727,0.6322,0.5406,0.4361
R1+R2,W4A16,False,200,,success,1081.3,0.4541,0.3592,0.4026,0.6643,0.5478,0.4856
R1+R2,MXFP4,False,200,,success,1965.2,0.407,0.2657,0.2827,0.6159,0.5185,0.418
R1+R2,NVFP4,False,200,,success,2110.9,0.4308,0.315,0.2821,0.6322,0.5296,0.4379
R1+R2+R3+R4,W4A16,False,200,,error,8.7,,,,,,
R1+R2+R3+R4,MXFP4,False,200,,error,2.9,,,,,,
R1+R2+R3+R4,NVFP4,False,200,,error,2.3,,,,,,
